"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 20 13:05:23 GMT 2023","Mon Nov 20 13:05:28 GMT 2023","5072","","com.gmail.kat9.rud.allure.StepsTest","","com.gmail.kat9.rud.allure.StepsTest","testAnnotatedStep","@Step annotation approach",""
"passed","Mon Nov 20 13:05:15 GMT 2023","Mon Nov 20 13:05:23 GMT 2023","7670","","com.gmail.kat9.rud.allure.SelenideTest","","com.gmail.kat9.rud.allure.SelenideTest","testIssueName","Clean Selenide with Listener approach",""
"passed","Mon Nov 20 13:05:28 GMT 2023","Mon Nov 20 13:05:31 GMT 2023","2715","","com.gmail.kat9.rud.allure.StepsTest","","com.gmail.kat9.rud.allure.StepsTest","testLambdaStep","Lambda steps approach",""
